,Open,High,Low,Close,Volume,Next_Change,MACD,signal_line,MACD_signals,previous_MACD_signal,MACD_change,signal_change,convergence,RSI,Stochastic_Oscillator,stoch_ma,STOCH_signals,previous_STOCH_signal,STOCH_change,STOCH_ma_change,stoch_convergence
2014-07-11,42.45,45.20790445168296,40.83260586319218,38.84,9330315,0,2.8333176702891407,2.495429247852808,0,0.0,0,1,-0.4133493361431446,,0.0,0.0,0,0.0,0,0,0.0
2014-07-14,38.87,34.601104972375694,31.946288734085996,36.84,10712412,1,2.383817644425825,2.4731069271674118,0,0.0,0,0,-0.4271777051779191,,0.0,0.0,0,0.0,0,0,0.0
2014-07-15,39.09,42.85141809290955,38.912344743276286,41.63,19856584,0,2.386587508556545,2.4558030434452385,1,0.0,1,0,0.020073747852892954,,0.0,0.0,0,0.0,0,0,0.0
2014-07-16,43.8,45.05691621219633,41.36638572136837,40.9,11344997,0,2.3033264333477774,2.4253077214257464,0,1.0,0,0,-0.052765753189275344,,48.12193547018281,24.060967735091406,0,0.0,1,1,24.060967735091406
2014-07-17,40.5,41.02158339367609,38.94762249577602,40.34,4755012,1,2.167172298260027,2.373680636792603,0,0.0,0,0,-0.08452705045460673,60.59821008007538,44.89616873271548,34.478568233903445,0,48.12193547018281,0,1,-13.64336723627937
2014-07-18,41.07,42.396500721500715,40.25425685425685,41.43,5215762,1,2.122753277342156,2.3234951649025137,0,0.0,0,0,0.005766450972217729,61.65820464001129,37.733865104997356,36.106216669450404,0,44.89616873271548,0,1,-8.789952063265083
2014-07-21,43.2,42.255313225058,40.03642691415313,41.58,9189147,1,2.0757269415536115,2.273941520232733,0,0.0,0,0,0.002527308881236312,61.81046313105118,37.08486455761113,36.595540613530765,0,37.733865104997356,0,1,-1.1383244914665909
2014-07-22,42.85,44.65919980833732,43.574988021082895,43.1,5829201,0,2.136481499650287,2.246449516116244,1,0.0,1,0,0.08824656221316474,63.39669401405983,71.71212928215186,54.15383494784132,1,37.08486455761113,1,1,17.068970390230184
2014-07-23,43.83,44.35184166864186,40.38461246740934,41.74,10362883,1,2.0512438286473937,2.2074083786224743,0,1.0,0,0,-0.04619653350912367,60.957052729939996,68.26199586280646,61.20791540532389,0,71.71212928215186,0,1,-10.504213876827976
2014-07-24,42.3,42.612101000476414,41.52669842782277,42.19,3373460,0,1.9969836154269274,2.165323425983365,0,0.0,0,0,-0.012175260581356984,61.48518831475985,71.39848797536986,66.30320169034687,1,68.26199586280646,1,1,-1.9587941724595765
2014-07-25,41.82,41.15495953757225,39.854307514450866,41.98,2837865,1,1.914962267571262,2.1152511943009444,0,0.0,0,0,-0.03194911617324481,61.07002174554804,70.58147154875167,68.44233661954927,0,71.39848797536986,0,1,-2.9561513558205945
2014-07-28,42.3,42.88688450192875,40.46284320399364,43.25,5882926,1,1.9301881372846736,2.0782385828976904,1,0.0,1,0,0.052238481116665625,62.70991055532361,79.5152017001693,73.97876915985928,1,70.58147154875167,1,1,3.397297611107618
2014-07-29,43.68,42.5801238454264,41.19091757024601,44.07,5903634,1,1.9855338968916598,2.059697645696484,1,1.0,1,0,0.07388669680819238,63.771069809681805,85.28343691604525,79.63110303795227,1,79.5152017001693,1,1,0.11590133778295808
2014-07-30,44.72,44.742009005628525,42.724080675422144,46.3158,6482058,1,2.185420929097795,2.0848423023767464,1,1.0,1,1,0.1747423755258728,66.5763898036324,108.35415210265043,93.99262757030135,1,85.28343691604525,1,1,8.709190654256105
2014-07-31,45.1,56.669465462533566,52.243627044178666,47.97,14661983,0,2.4490814708080393,2.157690136063005,1,1.0,1,1,0.19081270802398587,68.51055483851552,64.81250950035243,79.40256853532689,0,108.35415210265043,0,0,-28.95158356732354
2014-08-01,41.97,47.626428756812864,43.08602128211783,40.97,13318858,0,2.069338801540475,2.140019869158499,0,1.0,0,0,-0.3620724023630584,54.21361096660762,11.587775345201221,45.49517194026406,0,64.81250950035243,0,0,-19.317337560088376
2014-08-04,41.44,41.43437098019038,38.01454849498328,38.53,6683634,1,1.5535935330084456,2.0227346019284886,0,0.0,0,0,-0.398460001302019,50.2752422834775,2.763086568079259,24.12912925417166,0,11.587775345201221,0,0,12.541353908970436
2014-08-05,38.64,40.29550103305785,38.49856663223141,38.87,4017147,0,1.1589373421869595,1.8499751499801829,0,0.0,0,0,-0.2218967388731803,50.81146559604063,4.585662356496956,14.357395805334306,1,2.763086568079259,1,0,11.594309237255048
2014-08-06,39.36,40.150739018087855,38.54991214470284,38.72,2259646,0,0.8245606987548868,1.6448922597351239,0,0.0,0,0,-0.12929375318701375,50.55245810864152,3.781584802783265,9.069490304058785,0,4.585662356496956,0,0,4.48382794756183
2014-08-07,39.85,40.96135458167332,39.337290836653395,38.7,2044925,0,0.5515925513507938,1.426232318058258,0,0.0,0,0,-0.054308205727227055,50.51548393002807,3.6743744622881263,6.371932383173456,0,3.781584802783265,0,0,2.5903475803901914
2014-08-08,39.16,38.59617801047119,36.70382198952879,37.65,2423591,1,0.24768197943760129,1.1905222503341266,0,0.0,0,0,-0.0682005041890612,48.509501808025014,4.739030884481734,5.555481633827595,1,3.6743744622881263,1,0,1.881107171539468
2014-08-11,38.64,38.933172800138806,38.26035294519702,38.2,1564644,0,0.050627463215725754,0.9625432929104465,0,0.0,0,0,0.030924441201804598,49.63765114150092,7.493763035958096,6.524622334892845,1,4.739030884481734,1,1,1.7855914504111121
2014-08-12,38.65,38.540325393034834,37.55182587064677,38.0399,1317728,1,-0.11710843938791982,0.7466129464507734,0,0.0,0,0,0.04819444385602756,49.299047711296176,6.691885549682892,6.6082539422878686,0,7.493763035958096,0,1,-0.885509093670227
2014-08-13,38.49,37.75481387693086,36.758721195239296,38.19,2162202,1,-0.23521709881370612,0.5502469373978776,0,0.0,0,0,0.07825734962710951,49.64585593942445,7.443676996840318,7.025965469564094,1,6.691885549682892,1,1,0.33407991988120056
2014-08-14,38.25,39.51977381251571,37.76311887408897,39.49,2892037,1,-0.22136813285028012,0.39592392334824605,1,0.0,1,0,0.16817198001305744,52.66577883841017,13.954862082148054,10.490413775856073,1,7.443676996840318,1,1,3.046736779015757
2014-08-15,39.51,38.26875746714456,36.98520908004779,39.79,2822459,1,-0.18406346569545207,0.27992644553950646,1,1.0,1,0,0.1533021449635677,53.36092030380922,15.457443255680587,12.97392851576833,1,13.954862082148054,1,1,-0.9809335663797238
2014-08-18,40.5,41.1164667896679,38.645618081180814,41.85,3903791,1,0.011591911314120296,0.22625953869442922,1,1.0,1,0,0.2493222838546496,57.92973796070088,25.775167313937438,19.374547914852883,1,15.457443255680587,1,1,3.9171046591722973
2014-08-19,42.34,42.97470950102529,41.54231797676008,43.36,4064423,1,0.2852069000103441,0.23804901095761222,1,1.0,1,1,0.2618255164330408,60.94951381992746,33.33815922071793,26.356353567785405,1,25.775167313937438,1,1,0.5811862538479673
2014-08-20,42.905,45.34384989576095,43.47316191799861,43.89,3427176,0,0.5386065988463073,0.29816052853535124,1,1.0,1,1,0.19328818125822422,61.9810471116815,65.79178545542446,46.07406951160493,1,33.33815922071793,1,1,12.735910290887006
2014-08-21,44.6,44.735647955647956,42.907130699930704,43.17,2689281,1,0.6735652620500119,0.37324147523828344,1,1.0,1,1,0.05987771650077234,59.674885654769525,74.8397815452318,60.45692552841837,1,65.79178545542446,1,1,-5.334859927006093
