,Next_Change,MACD,signal_line,MACD_signals,previous_MACD_signal,MACD_change,signal_change,convergence,RSI,Stochastic_Oscillator,stoch_ma,STOCH_signals,previous_STOCH_signal,STOCH_change,STOCH_ma_change,stoch_convergence,Open_1d_change,High_1d_change,Low_1d_change,Close_1d_change,Volume_1d_change,Open_5d_change,High_5d_change,Low_5d_change,Close_5d_change,Volume_5d_change,Close_ma,Open_ma,High_ma,Low_ma,Volume_ma,Close_thirty_ma,Open_thirty_ma,High_thirty_ma,Low_thirty_ma,Volume_thirty_ma,convergence_ma,RSI_ma,MACD_change_ma,signal_line_ma,stoch_convergence_ma,STOCH_change_ma,stoch_ma_ma
2019-06-18,1,-0.21369314596883626,-0.16381343757179515,1,0.0,1,0,0.020959448745490467,40.288218418759996,30.80872165032513,21.249764860237562,1,15.686449461110596,1,1,5.563315399126969,-0.0068846815834767705,-0.024617224636336425,-0.026391099547665445,-0.028619528619528756,0.28937546923347324,0.02065404475043031,0.03129253019904075,0.03528011678502714,0.01346801346801333,0.21368143766626596,5.896666666666594,5.924444444444436,6.0199044245207025,5.804972987723347,3033287.5555555555,6.5013333333333545,6.501666666666679,6.6809118796507,6.361641197866135,5467250.9,0.00928388560186336,35.93290665272759,0.1111111111111111,-0.08357222749329578,1.6629499257519496,0.5555555555555556,10.553119343035757
2019-06-17,1,-0.22218266761506644,-0.15134351047253486,0,0.0,0,0,0.008004667203330124,33.651778735466536,15.686449461110596,11.690808070149998,1,4.268113035422001,1,1,7.422695034727999,0.013864818024263445,0.03467961028619629,0.0435332560345738,0.0,-0.22855546524092968,0.03292894280762572,0.03972316426469862,0.04220538389500662,0.025996533795494,0.46973220311030106,5.912222222222149,5.969999999999991,6.080823468527161,5.853496746528978,3247755.888888889,6.508000000000021,6.504333333333346,6.688064611474916,6.365778491965965,5503420.033333333,0.006419036244311196,35.56367419408818,0.0,-0.05861987388680147,1.3245805190794937,0.4444444444444444,8.99075377383963
2019-06-14,1,-0.21247754553276366,-0.13363372118690195,0,0.0,0,0,0.004233108693667997,33.651778735466536,4.268113035422001,7.695166679189402,0,8.847224482861412,0,0,-1.15205780367201,0.030769230769230875,0.053318381078601366,0.03672554808983306,0.019064124783362276,0.2877316445865792,0.010256410256410341,-0.008539632069043821,-0.01180383156119705,0.012131715771230553,0.5162425530151153,5.953333333333259,6.017777777777769,6.149900951446019,5.923597351998882,3446174.4444444445,6.516666666666688,6.509333333333345,6.6937778879238055,6.37052006425783,5560127.066666666,0.0043101575764500875,36.05389122424986,0.0,-0.03134654887984133,1.4960704876759314,0.4444444444444444,9.09133813039545
2019-06-13,0,-0.1969996981399662,-0.1139227651004365,0,0.0,0,0,0.009348421523766581,35.87641252078632,8.847224482861412,11.122220322956803,0,14.80802519665578,0,0,-3.685804873698979,-0.004975124378109493,-0.018219034751780244,0.008142192314814887,0.02040816326530614,-0.3665968045004516,0.004975124378109347,-0.010065573450674475,-0.012072176773909038,0.008503401360544187,0.44754510039891227,5.992222222222149,6.065555555555546,6.195369644895168,5.954733797891028,3696952.222222222,6.520000000000021,6.508666666666679,6.687541845911644,6.359900384876956,5750926.733333333,0.0007788338465137515,36.48021428961328,0.0,-0.002468464811803406,0.527662482175352,0.4444444444444444,10.516503006030764
2019-06-12,0,-0.18557888640385034,-0.09315353184055405,0,0.0,0,0,0.018048082404488797,38.45134545584864,14.80802519665578,13.397216163052192,0,15.801491982288153,0,1,-2.404275819235961,-0.011666666666666714,-0.011841459369817904,-0.025052002256063275,0.0033333333333332624,0.49594277846661095,0.036666666666666625,0.04728029330581491,0.014140037607393666,0.013333333333333345,1.2650395345080465,6.038888888888815,6.095555555555546,6.2356104668160794,6.001515438334612,3699411.5555555555,6.519333333333354,6.504666666666679,6.677793836617257,6.3555040723201826,5998560.6,-0.003692734129315327,37.00974415913414,0.0,0.027487158650347024,1.070141560967157,0.4444444444444444,13.437738369342007
2019-06-11,0,-0.18052063016751507,-0.07004719319972999,0,0.0,0,0,0.020572793934222344,38.88324573966499,15.801491982288153,11.986407129448605,1,10.834158054126203,1,1,1.1522490753224002,0.005059021922428373,-0.01664364292965059,-0.019878367788434822,-0.016611295681063065,0.5613954289988751,0.04553119730185506,0.04803620552648027,0.047735767309375746,0.019933554817275767,0.7008997115859767,6.087777777777704,6.169999999999991,6.314423911008571,6.062904201247184,3779376.5555555555,6.516333333333354,6.502666666666679,6.675406812865777,6.352156019105722,6065448.433333334,-0.009853257818418584,37.545260671263996,0.0,0.05763749057412588,1.14067758810053,0.4444444444444444,16.886636214828602
2019-06-10,1,-0.17347506485979114,-0.04242883395778371,0,0.0,0,0,0.011063762516593717,35.520623354101375,10.834158054126203,8.171322276609054,1,6.860290911596623,1,1,1.3110313650124326,-0.008389261744966413,-0.013349069864672762,-0.010544772472869491,-0.013513513513513526,-0.20414274898699572,0.05369127516778528,0.06359168883009517,0.04990235674858419,0.03378378378378381,0.04175244817956935,6.161111111111037,6.263333333333325,6.423711557661435,6.162217612795378,4068541.3333333335,6.51500000000002,6.506333333333345,6.6799929267969675,6.356179470882371,6068047.3,-0.015943991639364524,38.584643494088674,0.0,0.08686463896557589,1.266933045750819,0.3333333333333333,21.405675621282352
2019-06-07,1,-0.151777269650883,-0.00966727623228186,0,0.0,0,0,-0.00251990236146038,32.77293632159082,6.860290911596623,5.508486499091907,1,1.1248894357019656,1,1,4.383597063389941,0.025380710659898387,0.05169723498168348,0.03644402469740215,0.015410958904109566,0.2293874941335679,0.06598984771573599,0.12378354924688514,0.12295029402005837,0.07876712328767123,-0.1443396951210564,6.256666666666593,6.39888888888888,6.570226158581411,6.280894356760383,4077582.5555555555,6.520000000000021,6.509000000000011,6.6884397502801916,6.367777610861705,5975986.3,-0.021676064723965025,40.24673570143515,0.0,0.11362847290242123,0.14984151647182,0.2222222222222222,27.06539261583663
2019-06-06,0,-0.11372986893477233,0.025860222122368427,0,0.0,0,0,-0.0061554122433298,34.299820592863284,1.1248894357019656,4.156682086587191,0,1.7808821957924463,0,0,2.3757998907947435,0.026402640264026427,0.038654510512661194,0.03489074484115144,0.025295109612141715,-0.008885264649206184,0.10066006600660071,0.10609351815307837,0.11395168399045259,0.08600337268128173,-0.3939822121504976,6.407777777777705,6.542222222222213,6.771987831759013,6.487468807317135,3895436.5555555555,6.527000000000021,6.520333333333344,6.700775948092501,6.377886156804681,5930153.533333333,-0.023020539915069298,43.45573911887566,0.0,0.13640630892942543,-0.10633572849520315,0.2222222222222222,33.99204265614172
2019-06-05,0,-0.07267693392715735,0.060757744886653614,0,0.0,0,0,-0.004824195472479004,36.965126291005355,1.7808821957924463,7.188474737472415,0,4.670483998397548,0,0,2.517990739074868,-0.0032154340836012176,-0.011128220400659646,0.007245400657807378,0.009868421052631514,0.1233572755257108,0.08842443729903535,0.09618420272430551,0.1075018044126314,0.09868421052631574,0.27503852280254715,6.543333333333261,6.65999999999999,6.878184453609174,6.6098333008060575,3747517.222222222,6.540333333333354,6.529666666666677,6.717700334861813,6.4002666787111675,5829444.266666667,-0.024571581181330685,46.38821087280896,0.0,0.15376512877543835,-0.6022795109681481,0.2222222222222222,41.068534212918635
